n;RN;AVL;B-1;B-5;B-10
785;9559;16000;18328;14435;14402
786;9570;16017;18385;14449;14470
787;9592;16038;18446;14468;14454
788;9580;16089;18449;14508;14475
789;9587;16065;18464;14513;14497
790;9663;16129;18479;14525;14520
791;9593;16090;18520;14532;14536
792;9631;16147;18531;14567;14567
793;9666;16176;18513;14602;14601
794;9651;16164;18591;14570;14602
795;9704;16196;18598;14621;14633
796;9745;16305;18634;14670;14631
797;9727;16232;18664;14680;14646
798;9710;16355;18729;14702;14679
799;9773;16321;18716;14690;14690
800;9759;16331;18712;14726;14715
801;9780;16373;18704;14752;14738
802;9776;16378;18745;14771;14770
803;9799;16342;18774;14793;14801
804;9801;16392;18823;14799;14808
805;9823;16442;18832;14835;14829
806;9809;16457;18872;14845;14833
807;9833;16484;18927;14872;14852
808;9899;16562;18883;14877;14899
809;9832;16540;19001;14897;14905
810;9836;16509;18969;14933;14920
811;9913;16636;19046;14958;14951
812;9964;16634;19053;14984;14964
813;9956;16632;19069;15000;14999
814;9946;16646;19032;15064;14999
815;9954;16662;19145;15039;15040
816;9949;16700;19202;15067;15052
817;9988;16748;19118;15092;15056
818;10061;16789;19174;15091;15092
819;9987;16726;19210;15159;15111
820;9985;16782;19210;15167;15134
821;10022;16834;19266;15207;15149
822;10082;16877;19315;15202;15163
823;10092;16870;19298;15221;15178
824;10072;16873;19391;15208;15227
825;10108;16892;19367;15235;15227
826;10084;16902;19410;15281;15245
827;10061;16942;19419;15287;15275
828;10131;17024;19415;15308;15295
829;10140;16974;19489;15333;15301
830;10142;16999;19565;15375;15328
831;10161;17040;19537;15386;15355
832;10232;17099;19559;15429;15372
833;10174;17110;19591;15451;15393
834;10247;17161;19590;15413;15443
835;10252;17200;19665;15484;15467
836;10260;17196;19683;15491;15450
837;10252;17171;19683;15515;15487
838;10292;17225;19709;15508;15504
839;10291;17255;19805;15520;15536
